Entity,Year,Emigrants from Australia: Where did they move to?
Africa,1990,7309
Africa,1995,6358
Africa,2000,5542
Africa,2005,5508
Africa,2010,5711
Africa,2015,4875
Africa,2020,6259
Africa,2024,6383
Andorra,1990,36
Andorra,1995,39
Andorra,2000,41
Andorra,2005,59
Andorra,2010,70
Andorra,2015,65
Andorra,2020,69
Andorra,2024,73
Antigua and Barbuda,1990,7
Antigua and Barbuda,1995,7
Antigua and Barbuda,2000,6
Antigua and Barbuda,2005,7
Antigua and Barbuda,2010,7
Antigua and Barbuda,2015,7
Antigua and Barbuda,2020,6
Antigua and Barbuda,2024,6
Argentina,1990,2234
Argentina,1995,1968
Argentina,2000,1710
Argentina,2005,1451
Argentina,2010,1192
Argentina,2015,892
Argentina,2020,666
Argentina,2024,659
Asia,1990,36284
Asia,1995,43045
Asia,2000,51446
Asia,2005,55216
Asia,2010,61439
Asia,2015,86738
Asia,2020,82449
Asia,2024,68132
Australia,1990,Selected country
Australia,1995,Selected country
Australia,2000,Selected country
Australia,2005,Selected country
Australia,2010,Selected country
Australia,2015,Selected country
Australia,2020,Selected country
Australia,2024,Selected country
Azerbaijan,1990,210
Azerbaijan,1995,186
Azerbaijan,2000,164
Azerbaijan,2005,146
Azerbaijan,2010,129
Azerbaijan,2015,114
Azerbaijan,2020,101
Azerbaijan,2024,91
Bahamas,1990,27
Bahamas,1995,46
Bahamas,2000,65
Bahamas,2005,71
Bahamas,2010,77
Bahamas,2015,83
Bahamas,2020,88
Bahamas,2024,93
Barbados,1990,24
Barbados,1995,26
Barbados,2000,29
Barbados,2005,25
Barbados,2010,23
Barbados,2015,24
Barbados,2020,23
Barbados,2024,23
Belarus,1990,21
Belarus,1995,25
Belarus,2000,28
Belarus,2005,27
Belarus,2010,26
Belarus,2015,28
Belarus,2020,26
Belarus,2024,26
Bermuda,1990,37
Bermuda,1995,44
Bermuda,2000,43
Bermuda,2005,70
Bermuda,2010,102
Bermuda,2015,133
Bermuda,2020,176
Bermuda,2024,180
Bhutan,1990,12
Bhutan,1995,15
Bhutan,2000,17
Bhutan,2005,21
Bhutan,2010,25
Bhutan,2015,27
Bhutan,2020,27
Bhutan,2024,28
Bolivia,1990,74
Bolivia,1995,115
Bolivia,2000,154
Bolivia,2005,175
Bolivia,2010,196
Bolivia,2015,229
Bolivia,2020,253
Bolivia,2024,282
Botswana,1990,120
Botswana,1995,111
Botswana,2000,114
Botswana,2005,225
Botswana,2010,338
Botswana,2015,367
Botswana,2020,391
Botswana,2024,413
Brazil,1990,458
Brazil,1995,445
Brazil,2000,441
Brazil,2005,511
Brazil,2010,573
Brazil,2015,660
Brazil,2020,731
Brazil,2024,790
British Virgin Islands,1990,12
British Virgin Islands,1995,14
British Virgin Islands,2000,16
British Virgin Islands,2005,19
British Virgin Islands,2010,21
British Virgin Islands,2015,24
British Virgin Islands,2020,27
British Virgin Islands,2024,30
Brunei,1990,262
Brunei,1995,372
Brunei,2000,482
Brunei,2005,493
Brunei,2010,504
Brunei,2015,515
Brunei,2020,559
Brunei,2024,599
Bulgaria,1990,13
Bulgaria,1995,40
Bulgaria,2000,66
Bulgaria,2005,99
Bulgaria,2010,129
Bulgaria,2015,200
Bulgaria,2020,295
Bulgaria,2024,406
Cambodia,1990,54
Cambodia,1995,142
Cambodia,2000,229
Cambodia,2005,179
Cambodia,2010,129
Cambodia,2015,116
Cambodia,2020,123
Cambodia,2024,130
Canada,1990,13712
Canada,1995,14771
Canada,2000,15831
Canada,2005,17893
Canada,2010,24105
Canada,2015,30029
Canada,2020,26000
Canada,2024,26777
Cayman Islands,1990,23
Cayman Islands,1995,45
Cayman Islands,2000,77
Cayman Islands,2005,119
Cayman Islands,2010,173
Cayman Islands,2015,187
Cayman Islands,2020,208
Cayman Islands,2024,227
Central African Republic,1990,9
Central African Republic,1995,13
Central African Republic,2000,16
Central African Republic,2005,13
Central African Republic,2010,13
Central African Republic,2015,10
Central African Republic,2020,10
Central African Republic,2024,11
Central America (UN),1990,457
Central America (UN),1995,433
Central America (UN),2000,449
Central America (UN),2005,593
Central America (UN),2010,823
Central America (UN),2015,919
Central America (UN),2020,1043
Central America (UN),2024,1280
Central and Southern Asia (UN),1990,2732
Central and Southern Asia (UN),1995,1784
Central and Southern Asia (UN),2000,1096
Central and Southern Asia (UN),2005,1576
Central and Southern Asia (UN),2010,2639
Central and Southern Asia (UN),2015,2560
Central and Southern Asia (UN),2020,2437
Central and Southern Asia (UN),2024,2366
Chile,1990,582
Chile,1995,737
Chile,2000,879
Chile,2005,1002
Chile,2010,1058
Chile,2015,1236
Chile,2020,1333
Chile,2024,1421
China,1990,6495
China,1995,7703
China,2000,9168
China,2005,10913
China,2010,12987
China,2015,13046
China,2020,12610
China,2024,13927
Colombia,1990,192
Colombia,1995,219
Colombia,2000,197
Colombia,2005,184
Colombia,2010,276
Colombia,2015,438
Colombia,2020,629
Colombia,2024,761
Cook Islands,1990,115
Cook Islands,1995,120
Cook Islands,2000,124
Cook Islands,2005,230
Cook Islands,2010,336
Cook Islands,2015,388
Cook Islands,2020,426
Cook Islands,2024,459
Costa Rica,1990,73
Costa Rica,1995,50
Costa Rica,2000,51
Costa Rica,2005,34
Costa Rica,2010,67
Costa Rica,2015,67
Costa Rica,2020,79
Costa Rica,2024,95
Croatia,1990,694
Croatia,1995,764
Croatia,2000,753
Croatia,2005,1169
Croatia,2010,1585
Croatia,2015,1595
Croatia,2020,1499
Croatia,2024,1428
Cyprus,1990,741
Cyprus,1995,1048
Cyprus,2000,1355
Cyprus,2005,2037
Cyprus,2010,3126
Cyprus,2015,2870
Cyprus,2020,2961
Cyprus,2024,3143
Denmark,1990,1036
Denmark,1995,1330
Denmark,2000,1603
Denmark,2005,1843
Denmark,2010,2546
Denmark,2015,3006
Denmark,2020,3430
Denmark,2024,3795
Dominica,1990,3
Dominica,1995,4
Dominica,2000,5
Dominica,2005,5
Dominica,2010,6
Dominica,2015,7
Dominica,2020,6
Dominica,2024,6
Dominican Republic,1990,67
Dominican Republic,1995,75
Dominican Republic,2000,82
Dominican Republic,2005,60
Dominican Republic,2010,39
Dominican Republic,2015,40
Dominican Republic,2020,41
Dominican Republic,2024,44
East Timor,1990,425
East Timor,1995,451
East Timor,2000,482
East Timor,2005,522
East Timor,2010,543
East Timor,2015,562
East Timor,2020,553
East Timor,2024,547
Eastern Africa (UN),1990,285
Eastern Africa (UN),1995,277
Eastern Africa (UN),2000,271
Eastern Africa (UN),2005,342
Eastern Africa (UN),2010,473
Eastern Africa (UN),2015,463
Eastern Africa (UN),2020,570
Eastern Africa (UN),2024,689
Eastern Asia (UN),1990,16651
Eastern Asia (UN),1995,20878
Eastern Asia (UN),2000,26302
Eastern Asia (UN),2005,31221
Eastern Asia (UN),2010,32896
Eastern Asia (UN),2015,57724
Eastern Asia (UN),2020,54188
Eastern Asia (UN),2024,37099
Eastern Europe (UN),1990,1188
Eastern Europe (UN),1995,1295
Eastern Europe (UN),2000,1461
Eastern Europe (UN),2005,1783
Eastern Europe (UN),2010,2104
Eastern Europe (UN),2015,2575
Eastern Europe (UN),2020,3750
Eastern Europe (UN),2024,4436
Eastern and South-Eastern Asia (UN),1990,31490
Eastern and South-Eastern Asia (UN),1995,38784
Eastern and South-Eastern Asia (UN),2000,47570
Eastern and South-Eastern Asia (UN),2005,50581
Eastern and South-Eastern Asia (UN),2010,55445
Eastern and South-Eastern Asia (UN),2015,80584
Eastern and South-Eastern Asia (UN),2020,76159
Eastern and South-Eastern Asia (UN),2024,61688
Ecuador,1990,8
Ecuador,1995,63
Ecuador,2000,133
Ecuador,2005,195
Ecuador,2010,262
Ecuador,2015,206
Ecuador,2020,149
Ecuador,2024,105
Egypt,1990,269
Egypt,1995,372
Egypt,2000,519
Egypt,2005,702
Egypt,2010,874
Egypt,2015,0
Egypt,2020,1166
Egypt,2024,1077
El Salvador,1990,33
El Salvador,1995,27
El Salvador,2000,21
El Salvador,2005,24
El Salvador,2010,26
El Salvador,2015,27
El Salvador,2020,27
El Salvador,2024,27
Estonia,1990,0
