Entity,Year,Immigrants to Australia: Where did they move from?
Afghanistan,1990,3929
Afghanistan,1995,6337
Afghanistan,2000,12511
Afghanistan,2005,18919
Afghanistan,2010,30763
Afghanistan,2015,49616
Afghanistan,2020,62531
Afghanistan,2024,81506
Africa,1990,131823
Africa,1995,158228
Africa,2000,192313
Africa,2005,268270
Africa,2010,368198
Africa,2015,431819
Africa,2020,486185
Africa,2024,519852
Albania,1990,822
Albania,1995,1119
Albania,2000,1529
Albania,2005,2281
Albania,2010,2872
Albania,2015,3447
Albania,2020,3973
Albania,2024,4105
Algeria,1990,696
Algeria,1995,820
Algeria,2000,1170
Algeria,2005,1330
Algeria,2010,1382
Algeria,2015,1606
Algeria,2020,1684
Algeria,2024,1643
American Samoa,1990,56
American Samoa,1995,82
American Samoa,2000,135
American Samoa,2005,203
American Samoa,2010,262
American Samoa,2015,412
American Samoa,2020,485
American Samoa,2024,517
Angola,1990,359
Angola,1995,391
Angola,2000,417
Angola,2005,451
Angola,2010,528
Angola,2015,560
Angola,2020,570
Angola,2024,559
Antigua and Barbuda,1990,12
Antigua and Barbuda,1995,15
Antigua and Barbuda,2000,30
Antigua and Barbuda,2005,35
Antigua and Barbuda,2010,40
Antigua and Barbuda,2015,58
Antigua and Barbuda,2020,60
Antigua and Barbuda,2024,61
Argentina,1990,11476
Argentina,1995,12098
Argentina,2000,12032
Argentina,2005,13097
Argentina,2010,13703
Argentina,2015,15530
Argentina,2020,20027
Argentina,2024,24708
Armenia,1990,797
Armenia,1995,885
Armenia,2000,978
Armenia,2005,1111
Armenia,2010,1199
Armenia,2015,1463
Armenia,2020,1443
Armenia,2024,1462
Aruba,1990,60
Aruba,1995,60
Aruba,2000,57
Aruba,2005,50
Aruba,2010,60
Aruba,2015,68
Aruba,2020,72
Aruba,2024,70
Austria,1990,24364
Austria,1995,22990
Austria,2000,21615
Austria,2005,21030
Austria,2010,20146
Austria,2015,17969
Austria,2020,15703
Austria,2024,13561
Azerbaijan,1990,44
Azerbaijan,1995,71
Azerbaijan,2000,188
Azerbaijan,2005,298
Azerbaijan,2010,422
Azerbaijan,2015,647
Azerbaijan,2020,745
Azerbaijan,2024,828
Bahamas,1990,218
Bahamas,1995,229
Bahamas,2000,264
Bahamas,2005,268
Bahamas,2010,282
Bahamas,2015,308
Bahamas,2020,307
Bahamas,2024,305
Bahrain,1990,483
Bahrain,1995,623
Bahrain,2000,772
Bahrain,2005,1077
Bahrain,2010,1353
Bahrain,2015,1734
Bahrain,2020,2135
Bahrain,2024,2395
Bangladesh,1990,3071
Bangladesh,1995,4950
Bangladesh,2000,8488
Bangladesh,2005,16138
Bangladesh,2010,29393
Bangladesh,2015,43074
Bangladesh,2020,55031
Bangladesh,2024,64969
Barbados,1990,341
Barbados,1995,359
Barbados,2000,370
Barbados,2005,382
Barbados,2010,428
Barbados,2015,450
Barbados,2020,430
Barbados,2024,408
Belarus,1990,1075
Belarus,1995,1238
Belarus,2000,1357
Belarus,2005,1608
Belarus,2010,1840
Belarus,2015,2177
Belarus,2020,2479
Belarus,2024,2586
Belgium,1990,4565
Belgium,1995,4991
Belgium,2000,5320
Belgium,2005,5796
Belgium,2010,6517
Belgium,2015,7288
Belgium,2020,7823
Belgium,2024,7695
Belize,1990,33
Belize,1995,39
Belize,2000,48
Belize,2005,60
Belize,2010,62
Belize,2015,80
Belize,2020,80
Belize,2024,80
Benin,1990,3
Benin,1995,5
Benin,2000,28
Benin,2005,30
Benin,2010,80
Benin,2015,105
Benin,2020,98
Benin,2024,97
Bermuda,1990,329
Bermuda,1995,366
Bermuda,2000,409
Bermuda,2005,463
Bermuda,2010,515
Bermuda,2015,578
Bermuda,2020,598
Bermuda,2024,606
Bhutan,1990,29
Bhutan,1995,48
Bhutan,2000,70
Bhutan,2005,129
Bhutan,2010,1700
Bhutan,2015,5834
Bhutan,2020,12424
Bhutan,2024,25363
Bolivia,1990,534
Bolivia,1995,608
Bolivia,2000,694
Bolivia,2005,770
Bolivia,2010,863
Bolivia,2015,1058
Bolivia,2020,1125
Bolivia,2024,1196
Bosnia and Herzegovina,1990,13992
Bosnia and Herzegovina,1995,17878
Bosnia and Herzegovina,2000,28659
Bosnia and Herzegovina,2005,38496
Bosnia and Herzegovina,2010,39714
Bosnia and Herzegovina,2015,36757
Bosnia and Herzegovina,2020,32994
Bosnia and Herzegovina,2024,29317
Botswana,1990,115
Botswana,1995,185
Botswana,2000,670
Botswana,2005,973
Botswana,2010,1120
Botswana,2015,1327
Botswana,2020,1599
Botswana,2024,1736
Brazil,1990,2122
Brazil,1995,3446
Brazil,2000,4754
Brazil,2005,7512
Brazil,2010,16476
Brazil,2015,27395
Brazil,2020,52702
Brazil,2024,70220
Brunei,1990,1545
Brunei,1995,1791
Brunei,2000,2105
Brunei,2005,2561
Brunei,2010,3030
Brunei,2015,2893
Brunei,2020,3159
