STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VISITOR_TYPE,Visitor type,ACCOMMODATION_TYPE,Accommodation type,SOURCE,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2008,,70723615,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2009,,68209284,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2010,,68749161,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2011,,69718286,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2012,,72925715,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2013,,74159945,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2014,,74098965,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2015,,76088237,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2016,,78884000,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2017,,81178832,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2018,,84078152,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2019,,85982019,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2020,,47407770,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2021,,35752747,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2022,,73752114,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,AUT,Austria,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2023,,84811048,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2008,,11119811,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2009,,10336598,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2010,,10854245,,A,Normal value,A,Normal value,0,Units
